Data File	C:\Users\Luscombe-G\Documents\GPC Data\04102019 New THF Calibration\2019-04-11_14;28;13_TolH_P3HT_DP240_JO_01.vdt
Sample ID	TolH P3HT DP240 JO
Method File Name	THF PS Conv Calibration-0007.vcm
Date Acquired	Apr 11, 2019 - 14:28:13
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	System 1
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	22.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0.73333	 3.159	17.729	110.202	84.994	-354.564	16.28834						
0.73667	 3.143	17.729	110.233	84.975	-354.564	16.28834						
0.74000	 3.189	17.729	110.233	84.933	-354.549	16.28773						
0.74333	 3.204	17.729	110.172	84.880	-354.595	16.28651						
0.74667	 3.189	17.729	110.263	85.032	-354.579	16.28529						
0.75000	 3.204	20.501	110.218	85.032	-354.564	16.28529						
0.75333	 3.204	24.210	110.233	84.994	-354.640	16.28407						
0.75667	 3.113	27.919	110.218	85.013	-354.747	16.28223						
0.76000	 3.113	31.628	110.202	84.964	-354.778	16.28040						
0.76333	 3.174	35.337	110.141	84.872	-354.793	16.28040						
0.76667	 3.159	36.212	110.172	84.918	-354.793	16.28040						
0.77000	 3.174	36.212	110.141	85.009	-354.717	16.28040						
0.77333	 3.235	36.212	110.187	85.192	-354.625	16.27979						
0.77667	 3.189	36.212	110.202	85.032	-354.595	16.27979						
0.78000	 3.128	36.212	110.202	84.994	-354.595	16.28040						
0.78333	 3.189	30.539	110.172	84.841	-354.564	16.28101						
0.78667	 3.204	23.272	110.218	84.784	-354.579	16.28040						
0.79000	 3.159	16.006	110.191	84.784	-354.625	16.27979						
0.79333	 3.189	 8.739	110.172	84.880	-354.625	16.28040						
0.79667	 3.189	 1.473	110.153	84.841	-354.640	16.28162						
0.80000	 3.082	 0.000	110.172	84.880	-354.732	16.28223						
0.80333	 3.082	 0.000	110.096	84.803	-354.747	16.28223						
0.80667	 3.159	 0.000	110.096	84.826	-354.701	16.28223						
0.81000	 3.143	 0.000	110.096	84.841	-354.686	16.28345						
0.81333	 3.159	 0.000	110.141	84.994	-354.640	16.28468						
0.81667	 3.220	 0.000	110.141	84.964	-354.595	16.28407						
0.82000	 3.174	 0.000	110.172	84.979	-354.640	16.28284						
0.82333	 3.128	 0.000	110.202	84.918	-354.732	16.28223						
0.82667	 3.159	 0.000	110.233	84.887	-354.778	16.28162						
0.83000	 3.159	 0.000	110.187	84.796	-354.823	16.28101						
0.83333	 3.159	 2.955	110.187	84.948	-354.793	16.27979						
0.83667	 3.189	 6.512	110.233	85.025	-354.732	16.27857						
0.84000	 3.174	10.070	110.263	85.055	-354.656	16.27857						
0.84333	 3.098	13.628	110.309	85.070	-354.625	16.27918						
0.84667	 3.128	17.185	110.294	85.040	-354.656	16.27796						
0.85000	 3.159	14.715	110.294	84.902	-354.701	16.27674						
0.85333	 3.159	11.157	110.233	84.902	-354.732	16.27613						
0.85667	 3.189	 7.600	110.218	85.040	-354.762	16.27613						
0.86000	 3.220	 4.042	110.153	85.032	-354.762	16.27613						
0.86333	 3.174	 0.485	110.363	85.147	-354.747	16.27552						
0.86667	 3.143	 3.073	110.121	85.108	-354.762	16.27430						
0.87000	 3.174	 6.631	110.363	85.032	-354.732	16.27369						
0.87333	 3.189	10.188	110.343	84.918	-354.747	16.27430						
0.87667	 3.204	13.746	110.279	84.994	-354.823	16.27430						
0.88000	 3.204	17.303	110.157	85.009	-354.839	16.27369						
0.88333	 3.220	17.729	110.202	85.009	-354.823	16.27369						
0.88667	 3.143	17.729	110.157	84.964	-354.823	16.27430						
0.89000	 3.113	17.729	110.218	84.948	-354.762	16.27552						
0.89333	 3.159	17.729	110.401	84.964	-354.717	16.27552						
