Data File	C:\Users\Luscombe-G\Documents\GPC Data\04102019 New THF Calibration\2019-08-02_12;32;01_JO3-83_PostSox_P3MEGT_01.vdt
Sample ID	JO3-83 PostSox P3MEGT
Method File Name	THF PS Conv Calibration-0007.vcm
Date Acquired	Aug 02, 2019 - 12:32:01
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	System 1
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	22.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0.46333	 3.708	-4.321	110.813	84.727	-2494.888	21.07913						
0.46667	 3.677	-4.321	110.813	85.280	-2494.888	21.07913						
0.47000	 3.784	-4.321	110.767	85.574	-2494.888	21.07913						
0.47333	 3.815	-4.321	110.706	85.376	-2494.888	21.07852						
0.47667	 3.739	-4.321	110.721	85.208	-2494.888	21.07730						
0.48000	 3.693	-4.321	110.691	85.070	-2494.888	21.07730						
0.48333	 3.723	-4.321	110.706	85.009	-2494.888	21.07852						
0.48667	 3.723	-4.321	110.752	84.887	-2494.888	21.07913						
0.49000	 3.708	-4.321	110.782	84.887	-2494.888	21.07852						
0.49333	 3.708	-4.321	110.797	85.116	-2494.888	21.07852						
0.49667	 3.754	-4.321	110.797	85.223	-2494.888	21.07913						
0.50000	 3.723	-4.321	110.797	85.223	-2494.888	21.08035						
0.50333	 3.693	-4.321	110.813	85.223	-2494.888	21.08035						
0.50667	 3.647	-4.321	110.813	85.013	-2494.888	21.07913						
0.51000	 3.647	-4.321	110.797	84.964	-2494.888	21.07852						
0.51333	 3.647	-4.321	110.797	84.857	-2494.888	21.07913						
0.51667	 3.693	-4.690	110.843	84.841	-2494.888	21.07974						
0.52000	 3.693	-5.548	110.813	84.956	-2494.888	21.07852						
0.52333	 3.708	-6.406	110.782	85.051	-2494.888	21.07730						
0.52667	 3.723	-7.264	110.752	85.051	-2494.888	21.07730						
0.53000	 3.693	-8.122	110.752	85.032	-2494.888	21.07791						
0.53333	 3.601	-8.600	110.706	84.979	-2494.888	21.07730						
0.53667	 3.632	-8.600	110.706	84.826	-2494.888	21.07669						
0.54000	 3.693	-8.600	110.687	84.746	-2494.888	21.07669						
0.54333	 3.693	-8.600	110.801	84.918	-2494.888	21.07730						
0.54667	 3.662	-8.600	110.916	84.727	-2494.888	21.07852						
0.55000	 3.723	-8.208	110.916	85.204	-2494.888	21.07852						
0.55333	 3.723	-7.350	111.068	85.452	-2494.888	21.07730						
0.55667	 3.662	-6.492	111.057	85.406	-2494.888	21.07669						
0.56000	 3.586	-5.634	111.026	85.314	-2494.888	21.07547						
0.56333	 3.677	-4.775	110.935	85.162	-2494.888	21.07120						
0.56667	 3.723	-4.725	110.981	85.131	-2494.888	21.06693						
0.57000	 3.693	-5.584	110.858	85.009	-2494.888	21.06509						
0.57333	 3.708	-6.442	110.813	85.055	-2494.888	21.06631						
0.57667	 3.800	-7.300	110.767	85.101	-2494.888	21.07181						
0.58000	 3.754	-8.158	110.752	85.116	-2494.888	21.07974						
0.58333	 3.693	-8.600	110.721	85.086	-2494.888	21.08707						
0.58667	 3.662	-8.600	110.706	85.009	-2494.888	21.09317						
0.59000	 3.723	-8.600	110.843	84.899	-2494.888	21.09805						
0.59333	 3.723	-8.600	110.897	84.791	-2494.888	21.10050						
0.59667	 3.708	-8.600	110.744	84.765	-2494.888	21.10111						
0.60000	 3.739	-7.740	110.706	84.689	-2494.888	21.10050						
0.60333	 3.784	-6.015	110.668	85.223	-2494.888	21.09989						
0.60667	 3.723	-4.291	110.655	85.070	-2494.888	21.10050						
0.61000	 3.693	-2.566	110.668	85.019	-2494.888	21.10050						
0.61333	 3.708	-0.841	110.813	85.185	-2494.888	21.09928						
0.61667	 3.723	 0.000	110.797	85.116	-2494.888	21.09805						
0.62000	 3.739	 0.000	110.797	85.116	-2494.888	21.09805						
0.62333	 3.754	 0.000	110.813	85.208	-2494.888	21.09744						
0.62667	 3.754	 0.000	110.935	85.280	-2494.888	21.09622						
0.63000	 3.739	 0.000	110.858	85.147	-2494.888	21.09500						
0.63333	 3.723	-0.456	110.904	85.566	-2494.888	21.09378						
0.63667	 3.662	-1.323	110.904	84.689	-2494.888	21.09317						
0.64000	 3.632	-2.189	110.935	84.841	-2494.888	21.09317						
0.64333	 3.662	-3.056	110.874	84.892	-2494.888	21.09256						
0.64667	 3.708	-3.923	110.797	85.025	-2494.888	21.09073						
0.65000	 3.693	-4.321	110.782	84.918	-2494.888	21.08951						
0.65333	 3.723	-4.321	110.813	85.040	-2494.888	21.08951						
0.65667	 3.769	-4.321	110.782	85.040	-2494.888	21.08829						
0.66000	 3.723	-4.321	110.736	84.948	-2494.888	21.08585						
0.66333	 3.632	-4.321	110.752	84.918	-2494.888	21.08341						
0.66667	 3.632	-4.321	110.767	84.857	-2494.888	21.08219						
0.67000	 3.693	-4.321	110.736	84.735	-2494.888	21.08158						
0.67333	 3.693	-4.321	110.744	84.670	-2494.888	21.08097						
0.67667	 3.708	-4.321	110.731	84.714	-2494.888	21.07974						
0.68000	 3.784	-4.321	110.935	84.765	-2494.888	21.07913						
0.68333	 3.800	-4.321	110.884	84.803	-2494.888	21.07974						
0.68667	 3.739	-4.321	110.935	84.765	-2494.888	21.08035						
0.69000	 3.693	-4.321	110.878	84.841	-2494.888	21.07913						
0.69333	 3.693	-4.321	110.828	84.822	-2494.888	21.07730						
0.69667	 3.708	-4.321	110.767	84.857	-2494.888	21.07669						
0.70000	 3.708	-3.817	110.843	84.887	-2494.888	21.07730						
0.70333	 3.723	-2.951	110.813	84.979	-2494.888	21.07730						
0.70667	 3.754	-2.084	110.843	85.040	-2494.888	21.07730						
0.71000	 3.754	-1.217	111.026	85.108	-2494.888	21.07791						
0.71333	 3.708	-0.351	110.950	85.032	-2494.888	21.07913						
0.71667	 3.693	 0.000	110.950	85.013	-2494.888	21.08035						
0.72000	 3.616	 0.000	110.965	84.918	-2494.888	21.08035						
0.72333	 3.632	 0.000	110.965	84.765	-2494.888	21.07913						
0.72667	 3.693	 0.000	110.889	84.826	-2494.888	21.07852						
0.73000	 3.723	 0.000	110.920	84.948	-2494.888	21.07913						
0.73333	 3.677	-1.569	110.874	84.979	-2494.888	21.07913						
0.73667	 3.739	-4.144	110.935	85.086	-2494.888	21.07791						
0.74000	 3.723	-6.718	110.904	85.086	-2494.888	21.07669						
0.74333	 3.647	-9.293	110.839	85.086	-2494.888	21.07608						
0.74667	 3.525	-11.867	110.935	85.025	-2494.888	21.07669						
0.75000	 3.601	-11.773	110.935	84.994	-2494.888	21.07669						
0.75333	 3.662	-10.065	110.909	85.101	-2494.888	21.07547						
0.75667	 3.662	-8.357	110.986	85.162	-2494.888	21.07486						
0.76000	 3.662	-6.649	110.916	85.238	-2494.888	21.07608						
0.76333	 3.784	-4.941	110.820	85.269	-2494.888	21.07669						
0.76667	 3.754	-4.868	110.916	85.269	-2494.888	21.07608						
0.77000	 3.632	-5.726	110.904	85.147	-2494.888	21.07486						
0.77333	 3.616	-6.584	110.981	85.177	-2494.888	21.07486						
0.77667	 3.693	-7.443	110.950	85.070	-2494.888	21.07547						
0.78000	 3.677	-8.301	110.965	85.025	-2494.888	21.07608						
0.78333	 3.647	-8.042	110.843	85.086	-2494.888	21.07547						
0.78667	 3.708	-7.183	110.813	85.131	-2494.888	21.07547						
0.79000	 3.708	-6.325	110.691	85.055	-2494.888	21.07608						
0.79333	 3.616	-5.467	110.721	85.009	-2494.888	21.07669						
0.79667	 3.555	-4.609	110.675	84.948	-2494.888	21.07669						
0.80000	 3.632	-4.321	110.691	84.861	-2494.888	21.07608						
0.80333	 3.647	-4.321	110.721	84.689	-2494.888	21.07547						
0.80667	 3.662	-4.321	110.706	84.841	-2494.888	21.07608						
0.81000	 3.723	-4.321	110.706	84.613	-2494.888	21.07730						
0.81333	 3.769	-4.321	110.797	85.376	-2494.888	21.07791						
0.81667	 3.708	-3.733	110.782	84.943	-2494.888	21.07791						
0.82000	 3.616	-2.867	110.767	85.147	-2494.888	21.07913						
0.82333	 3.632	-2.000	110.935	84.969	-2494.888	21.08158						
0.82667	 3.632	-1.133	110.920	84.937	-2494.888	21.08280						
0.83000	 3.632	-0.266	110.858	84.937	-2494.888	21.08219						
0.83333	 3.647	-0.600	110.916	85.070	-2494.888	21.08158						
0.83667	 3.739	-1.467	110.897	85.121	-2494.888	21.08219						
0.84000	 3.693	-2.334	110.763	85.089	-2494.888	21.08280						
0.84333	 3.647	-3.200	110.801	85.070	-2494.888	21.08280						
0.84667	 3.632	-4.067	110.782	84.994	-2494.888	21.08219						
0.85000	 3.662	-4.321	110.813	85.055	-2494.888	21.08219						
0.85333	 3.693	-4.321	110.797	84.902	-2494.888	21.08341						
0.85667	 3.739	-4.321	110.721	84.902	-2494.888	21.08402						
0.86000	 3.754	-4.321	110.782	85.040	-2494.888	21.08402						
0.86333	 3.769	-4.321	110.813	85.108	-2494.888	21.08402						
0.86667	 3.754	-5.551	110.813	85.045	-2494.888	21.08463						
0.87000	 3.708	-7.259	110.828	85.070	-2494.888	21.08585						
0.87333	 3.616	-8.967	110.874	84.727	-2494.888	21.08585						
0.87667	 3.647	-10.675	110.782	84.740	-2494.888	21.08524						
0.88000	 3.708	-12.383	110.813	84.841	-2494.888	21.08463						
0.88333	 3.723	-11.584	110.782	84.902	-2494.888	21.08585						
0.88667	 3.708	-9.876	110.935	84.937	-2494.888	21.08707						
0.89000	 3.800	-8.168	110.920	85.070	-2494.888	21.08768						
0.89333	 3.769	-6.460	110.935	84.994	-2494.888	21.08707						
0.89667	 3.677	-4.752	110.996	85.013	-2494.888	21.08707						
0.90000	 3.616	-3.673	110.981	84.536	-2494.888	21.08829						
0.90333	 3.677	-2.806	110.874	84.902	-2494.888	21.08829						
0.90667	 3.662	-1.940	110.858	84.826	-2494.888	21.08768						
0.91000	 3.616	-1.073	110.874	84.948	-2494.888	21.08707						
0.91333	 3.647	-0.206	110.797	84.880	-2494.888	21.08707						
0.91667	 3.708	-0.660	110.843	85.192	-2494.888	21.08707						
0.92000	 3.662	-1.527	110.843	85.223	-2494.888	21.08707						
0.92333	 3.555	-2.394	110.874	85.223	-2494.888	21.08646						
0.92667	 3.632	-3.260	110.874	84.994	-2494.888	21.08524						
0.93000	 3.662	-4.127	110.874	85.009	-2494.888	21.08585						
0.93333	 3.616	-4.321	110.920	85.009	-2494.888	21.08646						
0.93667	 3.616	-4.321	110.950	85.086	-2494.888	21.08585						
0.94000	 3.739	-4.321	110.992	85.147	-2494.888	21.08463						
0.94333	 3.708	-4.321	111.011	85.128	-2494.888	21.08402						
0.94667	 3.616	-4.321	110.954	85.051	-2494.888	21.08402						
0.95000	 3.662	-4.321	110.858	84.975	-2494.888	21.08402						
0.95333	 3.693	-4.321	110.839	84.861	-2494.888	21.08341						
0.95667	 3.677	-4.321	110.843	84.861	-2494.888	21.08219						
0.96000	 3.677	-4.321	110.813	84.918	-2494.888	21.08280						
0.96333	 3.754	-4.321	110.813	85.198	-2494.888	21.08402						
0.96667	 3.723	-3.625	110.813	85.172	-2494.888	21.08402						
0.97000	 3.693	-2.758	110.752	84.727	-2494.888	21.08341						
0.97333	 3.616	-1.892	110.752	84.816	-2494.888	21.08341						
0.97667	 3.647	-1.025	110.843	85.040	-2494.888	21.08402						
0.98000	 3.647	-0.158	110.889	84.948	-2494.888	21.08463						
0.98333	 3.677	 0.000	110.874	85.070	-2494.888	21.08402						
0.98667	 3.662	 0.000	110.874	85.192	-2494.888	21.08280						
0.99000	 3.723	 0.000	110.935	85.269	-2494.888	21.08219						
0.99333	 3.693	 0.000	110.828	85.208	-2494.888	21.08280						
0.99667	 3.677	 0.000	110.797	85.131	-2494.888	21.08280						
1.00000	 3.601	 0.000	110.797	85.055	-2494.888	21.08219						
1.00333	 3.647	 0.000	110.843	85.025	-2494.888	21.08097						
1.00667	 3.693	 0.000	110.767	84.902	-2494.888	21.08158						
1.01000	 3.708	 0.000	110.904	84.918	-2494.888	21.08280						
1.01333	 3.708	 0.000	110.950	84.969	-2494.888	21.08280						
1.01667	 3.769	 0.000	111.042	84.918	-2494.888	21.08219						
1.02000	 3.739	 0.000	111.209	84.765	-2494.888	21.08280						
1.02333	 3.662	 0.000	111.255	84.994	-2494.888	21.08463						
1.02667	 3.632	 0.000	110.954	85.426	-2494.888	21.08524						
1.03000	 3.693	 0.000	110.916	85.325	-2494.888	21.08524						
1.03333	 3.708	 0.000	110.763	85.261	-2494.888	21.08463						
1.03667	 3.677	 0.000	110.752	85.314	-2494.888	21.08463						
1.04000	 3.723	 0.000	110.687	85.395	-2494.888	21.08524						
1.04333	 3.754	 0.000	110.889	85.280	-2494.888	21.08524						
1.04667	 3.677	 0.000	110.668	85.108	-2494.888	21.08402						
1.05000	 3.586	 0.000	110.858	85.013	-2494.888	21.08280						
1.05333	 3.632	 0.000	110.680	84.994	-2494.888	21.08341						
1.05667	 3.662	 0.000	110.858	85.040	-2494.888	21.08341						
1.06000	 3.662	 0.000	110.843	85.009	-2494.888	21.08341						
1.06333	 3.677	 0.000	110.843	85.116	-2494.888	21.08280						
1.06667	 3.754	 0.000	110.858	85.299	-2494.888	21.08341						
1.07000	 3.739	 0.000	110.706	85.223	-2494.888	21.08402						
1.07333	 3.693	 0.000	110.721	85.147	-2494.888	21.08463						
1.07667	 3.616	 0.000	110.721	85.086	-2494.888	21.08402						
1.08000	 3.616	 0.000	110.752	85.040	-2494.888	21.08280						
1.08333	 3.632	 0.788	110.767	84.918	-2494.888	21.08219						
1.08667	 3.677	 1.663	110.782	85.009	-2494.888	21.08219						
1.09000	 3.662	 2.539	110.797	85.051	-2494.888	21.08219						
1.09333	 3.739	 3.414	110.935	85.198	-2494.888	21.08097						
1.09667	 3.739	 4.290	110.935	85.121	-2494.888	21.08035						
1.10000	 3.708	 3.565	110.920	85.147	-2494.888	21.08097						
1.10333	 3.632	 2.689	110.904	84.943	-2494.888	21.08219						
1.10667	 3.693	 1.814	110.935	85.089	-2494.888	21.08158						
1.11000	 3.739	 0.938	110.828	85.070	-2494.888	21.08035						
1.11333	 3.739	 0.063	110.828	85.162	-2494.888	21.08035						
1.11667	 3.723	-0.804	110.904	85.185	-2494.888	21.08158						
1.12000	 3.769	-1.671	110.904	85.261	-2494.888	21.08219						
1.12333	 3.739	-2.538	110.878	85.172	-2494.888	21.08158						
1.12667	 3.601	-3.404	110.916	85.198	-2494.888	21.08097						
1.13000	 3.601	-4.271	110.916	85.045	-2494.888	21.08097						
1.13333	 3.677	-4.321	110.839	85.051	-2494.888	21.08158						
1.13667	 3.662	-4.321	110.954	85.128	-2494.888	21.08097						
1.14000	 3.632	-4.321	110.920	85.192	-2494.888	21.07974						
1.14333	 3.723	-4.321	110.858	85.238	-2494.888	21.07974						
